Name,Flour,Bread,Battered,Starch,Plain,Filled,Thick,Boiled,Steamed,DeepFried,Fried,Baked,Raw,Sweet,Savory
Banku,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
Tihlo,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
American,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Manti,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Joshpara,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jiaozi,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Guotie,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Wonton,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Gujia,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Samosa,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Kozhukkatta,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Modak,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
Kachori,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Momo,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
Pitha,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1
Nevryo,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Siomay,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Dango,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Baozi,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
Buuz,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Khuushuur,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
Yomari,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Empanada,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1
Pastei,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Coxinha,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
Pantruca,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Bunuelo,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
Tamale,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
Pastel,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
Paime,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
British,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Cotswold,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1
Clootie,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
Knodel,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1
Maultasche,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Halusky,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
Shlishkes,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
Knedlik,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
Khinkali,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Pierogi,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1
Tortellini,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Arancini,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
Bitterbal,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Kreplach,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Pelmeni,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Kluski,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Kalduny,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
Cepelinai,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
Burek,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Ravioli,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Gnocchi,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
Calzone,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Pastizz,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Kroppkaka,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
Palt,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
Asida,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Qatayef,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Kibbeh,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1
Mataz,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
MatzahBall,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Knish,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1
